,205
id_circo,43001
Nom de la circonscription,Haute-Loire    - 1re circonscription
Inscrit_22,101344
pop_légal_19,127337
pop_légal_13,125023
tvar_pop,0.3
pop_pole_aav,17.6
pop_cour_aav,57.9
pop_horsaav,24.6
pop_urb,28.2
pop_rur_periu,31.6
pop_rur_non_periu,40.1
age_moyen,43.1
dec90,76
dec75,63
dec50,45
dec25,21
dec10,9
actemp,41.4
actcho,4.3
inactret,26.9
inactetu,6.6
inactm14,16.5
inactaut,4.3
actemp_hom,44.1
actcho_hom,4.2
inactret_hom,25.0
inactetu_hom,6.4
inactm14_hom,17.2
inactaut_hom,3.1
actemp_fem,38.8
actcho_fem,4.4
inactret_fem,28.9
inactetu_fem,6.7
inactm14_fem,15.8
inactaut_fem,5.5
actdip_PEU,13.1
actdip_CAP,30.5
actdip_BAC,23.7
actdip_BAC2,15.7
actdip_BAC3,10.4
actdip_BAC5,6.6
actdip_BAC3P,17.0
act_agr,2.9
act_art,8.1
act_cad,8.6
act_int,24.9
act_emp,28.0
act_ouv,26.9
act_cho,0.6
log_res,73.8
log_sec,15.1
log_vac,11.1
proprio,70.7
locatai,27.2
gratuit,2.1
maison,76.4
ach90,67.7
mfuel,22.4
men_seul,33.4
men_coupae,28.3
men_coupse,29.6
men_monop,7.4
men_sfam,1.3
men_seul_com,33.4
men_coupse_com,29.5
men_coupae_com,28.2
men_monop_com,7.4
men_complexe_com,1.6
seul_hom1829,14.9
seul_hom3059,16.0
seul_hom6074,19.6
seul_hom7584,21.5
seul_hom85,27.8
seul_fem1829,10.7
seul_fem3059,10.0
seul_fem6074,26.4
seul_fem7584,42.3
seul_fem85,44.4
iranr_log,90.7
iranr_com,3.3
iranr_dep,3.3
iranr_fra,2.6
iranr_etr,0.1
mobresid,3.3
ilt_com,31.1
ilt_dep,44.8
ilt_fra,24.1
ilt_etr,0.1
mobtrav,28.8
modtrans_aucun,4.5
modtrans_pied,5.8
modtrans_velo,0.6
modtrans_moto,0.7
modtrans_voit,86.9
modtrans_commun,1.5
tx_pauvrete60_diff,10.4
nivvie_median_diff,21400
part_pauvres_diff,10.4
part_modestes_diff,30
part_medians_diff,32.8
part_plutot_aises_diff,21.5
part_aises_diff,5.3
D1_diff,13040
D9_diff,33840
rpt_D9_D1_diff,2.6
tx_pauvrete60_diff_trageRF1,15.2
tx_pauvrete60_diff_trageRF2,11.3
tx_pauvrete60_diff_trageRF3,11.3
tx_pauvrete60_diff_trageRF4,10.2
tx_pauvrete60_diff_trageRF5,7.8
tx_pauvrete60_diff_trageRF6,9.9
PACT,67.6
PPEN,31.5
PPAT,9.5
PPSOC,5.6
PIMPOT,-14.3
acc_ecole,97.1
acc_college,47
acc_lycee,25
acc_medecin,80.7
acc_dentiste,71.3
acc_pharmacie,79
part_eloig,13.9
