,61
id_circo,14002
Nom de la circonscription,Calvados  - 2e circonscription
Inscrit_22,68045
pop_légal_19,108854
pop_légal_13,105416
tvar_pop,0.5
pop_pole_aav,85
pop_cour_aav,15
pop_horsaav,0
pop_urb,90.7
pop_rur_periu,9.3
pop_rur_non_periu,0
age_moyen,39.1
dec90,72
dec75,59
dec50,36
dec25,19
dec10,9
actemp,37.4
actcho,7.1
inactret,21.5
inactetu,13.2
inactm14,15.3
inactaut,5.5
actemp_hom,39.8
actcho_hom,7.3
inactret_hom,18.8
inactetu_hom,13.4
inactm14_hom,16.7
inactaut_hom,4.1
actemp_fem,35.2
actcho_fem,6.9
inactret_fem,24.0
inactetu_fem,13.0
inactm14_fem,14.0
inactaut_fem,6.9
actdip_PEU,15.8
actdip_CAP,24.9
actdip_BAC,21.3
actdip_BAC2,13.4
actdip_BAC3,11.6
actdip_BAC5,13
actdip_BAC3P,24.6
act_agr,0.2
act_art,4.4
act_cad,13.6
act_int,24.9
act_emp,31.9
act_ouv,23.0
act_cho,2.0
log_res,91.8
log_sec,2.0
log_vac,6.1
proprio,39.7
locatai,58.9
gratuit,1.4
maison,42.8
ach90,68.3
mfuel,4.9
men_seul,44.9
men_coupae,19.6
men_coupse,22.7
men_monop,10.1
men_sfam,2.7
men_seul_com,44.9
men_coupse_com,22.5
men_coupae_com,19.5
men_monop_com,10.1
men_complexe_com,3.0
seul_hom1829,28.5
seul_hom3059,22.7
seul_hom6074,21.2
seul_hom7584,19.0
seul_hom85,20.0
seul_fem1829,32.5
seul_fem3059,16.2
seul_fem6074,37.2
seul_fem7584,50.5
seul_fem85,50.5
iranr_log,83.3
iranr_com,4.5
iranr_dep,8.3
iranr_fra,3.4
iranr_etr,0.4
mobresid,7.5
ilt_com,31.2
ilt_dep,63.7
ilt_fra,5
ilt_etr,0.1
mobtrav,28.1
modtrans_aucun,2.8
modtrans_pied,7
modtrans_velo,3.8
modtrans_moto,1.5
modtrans_voit,73.5
modtrans_commun,11.3
tx_pauvrete60_diff,16.8
nivvie_median_diff,20540
part_pauvres_diff,16.8
part_modestes_diff,29.2
part_medians_diff,28.5
part_plutot_aises_diff,19.8
part_aises_diff,5.7
D1_diff,11080
D9_diff,33990
rpt_D9_D1_diff,3.1
tx_pauvrete60_diff_trageRF1,28.1
tx_pauvrete60_diff_trageRF2,21.7
tx_pauvrete60_diff_trageRF3,21
tx_pauvrete60_diff_trageRF4,14.8
tx_pauvrete60_diff_trageRF5,9.4
tx_pauvrete60_diff_trageRF6,6.3
PACT,69
PPEN,30.9
PPAT,6.6
PPSOC,8.3
PIMPOT,-14.8
acc_ecole,97.4
acc_college,82.1
acc_lycee,70.8
acc_medecin,95.7
acc_dentiste,85.4
acc_pharmacie,94.7
part_eloig,1.1
