,62
id_circo,14003
Nom de la circonscription,Calvados  - 3e circonscription
Inscrit_22,79595
pop_légal_19,106852
pop_légal_13,109296
tvar_pop,-0.4
pop_pole_aav,18.8
pop_cour_aav,64.9
pop_horsaav,16.3
pop_urb,27.9
pop_rur_periu,55.4
pop_rur_non_periu,16.7
age_moyen,41.9
dec90,74
dec75,62
dec50,43
dec25,20
dec10,8
actemp,39.9
actcho,5.9
inactret,25.2
inactetu,6.6
inactm14,17.3
inactaut,5.1
actemp_hom,42.5
actcho_hom,6.0
inactret_hom,23.1
inactetu_hom,6.5
inactm14_hom,18.2
inactaut_hom,3.6
actemp_fem,37.4
actcho_fem,5.7
inactret_fem,27.2
inactetu_fem,6.6
inactm14_fem,16.5
inactaut_fem,6.6
actdip_PEU,18.9
actdip_CAP,33.1
actdip_BAC,21.6
actdip_BAC2,12.1
actdip_BAC3,8.1
actdip_BAC5,6.2
actdip_BAC3P,14.3
act_agr,2.6
act_art,6.7
act_cad,8.3
act_int,21.7
act_emp,29.5
act_ouv,29.9
act_cho,1.3
log_res,83.9
log_sec,6.5
log_vac,9.6
proprio,61.4
locatai,36.8
gratuit,1.8
maison,75.6
ach90,75.4
mfuel,16.3
men_seul,34.3
men_coupae,27
men_coupse,28.5
men_monop,8.8
men_sfam,1.3
men_seul_com,34.3
men_coupse_com,28.3
men_coupae_com,26.9
men_monop_com,8.8
men_complexe_com,1.7
seul_hom1829,12.9
seul_hom3059,16.5
seul_hom6074,17.3
seul_hom7584,20.9
seul_hom85,27.2
seul_fem1829,13.9
seul_fem3059,10.9
seul_fem6074,29.2
seul_fem7584,47.8
seul_fem85,53.6
iranr_log,89.8
iranr_com,3.3
iranr_dep,4.8
iranr_fra,2
iranr_etr,0.1
mobresid,4.3
ilt_com,30.3
ilt_dep,60.6
ilt_fra,9.1
ilt_etr,0.1
mobtrav,44.6
modtrans_aucun,5.6
modtrans_pied,6
modtrans_velo,0.9
modtrans_moto,1.1
modtrans_voit,83.2
modtrans_commun,3.3
tx_pauvrete60_diff,13.6
nivvie_median_diff,20490
part_pauvres_diff,13.6
part_modestes_diff,31.9
part_medians_diff,31.8
part_plutot_aises_diff,17.9
part_aises_diff,4.7
D1_diff,12070
D9_diff,32490
rpt_D9_D1_diff,2.7
tx_pauvrete60_diff_trageRF1,19.9
tx_pauvrete60_diff_trageRF2,16.1
tx_pauvrete60_diff_trageRF3,15.5
tx_pauvrete60_diff_trageRF4,14
tx_pauvrete60_diff_trageRF5,9.4
tx_pauvrete60_diff_trageRF6,9.2
PACT,67.5
PPEN,31.9
PPAT,7.6
PPSOC,6.7
PIMPOT,-13.8
acc_ecole,79.4
acc_college,53.7
acc_lycee,35.4
acc_medecin,61.4
acc_dentiste,54.9
acc_pharmacie,60.6
part_eloig,30.5
