,433
id_circo,78009
Nom de la circonscription,Yvelines  - 9e circonscription
Inscrit_22,92669
pop_légal_19,141198
pop_légal_13,136501
tvar_pop,0.6
pop_pole_aav,0
pop_cour_aav,100
pop_horsaav,0
pop_urb,65.2
pop_rur_periu,34.8
pop_rur_non_periu,0
age_moyen,38.7
dec90,70
dec75,57
dec50,39
dec25,17
dec10,7
actemp,42.5
actcho,5.5
inactret,18.5
inactetu,7.6
inactm14,20.0
inactaut,5.9
actemp_hom,45.1
actcho_hom,5.3
inactret_hom,18.1
inactetu_hom,7.4
inactm14_hom,20.7
inactaut_hom,3.5
actemp_fem,40.0
actcho_fem,5.7
inactret_fem,18.9
inactetu_fem,7.8
inactm14_fem,19.3
inactaut_fem,8.3
actdip_PEU,16.8
actdip_CAP,24.1
actdip_BAC,20.8
actdip_BAC2,15.7
actdip_BAC3,11.3
actdip_BAC5,11.3
actdip_BAC3P,22.6
act_agr,0.4
act_art,6.2
act_cad,18.3
act_int,27.9
act_emp,27.2
act_ouv,18.7
act_cho,1.3
log_res,89.2
log_sec,4.0
log_vac,6.7
proprio,67.3
locatai,30.9
gratuit,1.8
maison,68.3
ach90,73
mfuel,12.5
men_seul,26
men_coupae,36
men_coupse,26.2
men_monop,10.5
men_sfam,1.4
men_seul_com,26.0
men_coupse_com,25.8
men_coupae_com,35.6
men_monop_com,10.4
men_complexe_com,2.2
seul_hom1829,7.1
seul_hom3059,12.3
seul_hom6074,13.7
seul_hom7584,15.1
seul_hom85,27.4
seul_fem1829,5.5
seul_fem3059,7.8
seul_fem6074,24.0
seul_fem7584,43.7
seul_fem85,53.6
iranr_log,91.7
iranr_com,2.1
iranr_dep,3.9
iranr_fra,2
iranr_etr,0.3
mobresid,4.7
ilt_com,18
ilt_dep,51.7
ilt_fra,30.2
ilt_etr,0.1
mobtrav,68.5
modtrans_aucun,3.4
modtrans_pied,4.1
modtrans_velo,0.6
modtrans_moto,1.2
modtrans_voit,70.8
modtrans_commun,19.9
tx_pauvrete60_diff,11.5
nivvie_median_diff,24070
part_pauvres_diff,11.5
part_modestes_diff,21.4
part_medians_diff,25.7
part_plutot_aises_diff,29.6
part_aises_diff,11.8
D1_diff,12580
D9_diff,41320
rpt_D9_D1_diff,3.3
tx_pauvrete60_diff_trageRF1,16.4
tx_pauvrete60_diff_trageRF2,13.9
tx_pauvrete60_diff_trageRF3,13.9
tx_pauvrete60_diff_trageRF4,10.5
tx_pauvrete60_diff_trageRF5,7.5
tx_pauvrete60_diff_trageRF6,7.7
PACT,80.9
PPEN,25.4
PPAT,7.6
PPSOC,4.9
PIMPOT,-18.8
acc_ecole,97.9
acc_college,52.7
acc_lycee,36.2
acc_medecin,71.5
acc_dentiste,63.1
acc_pharmacie,68.9
part_eloig,4.9
