,206
id_circo,43002
Nom de la circonscription,Haute-Loire    - 2e circonscription
Inscrit_22,79158
pop_légal_19,100233
pop_légal_13,101180
tvar_pop,-0.2
pop_pole_aav,20.7
pop_cour_aav,58.8
pop_horsaav,20.5
pop_urb,31.9
pop_rur_periu,23.7
pop_rur_non_periu,44.4
age_moyen,45.4
dec90,77
dec75,65
dec50,48
dec25,25
dec10,10
actemp,39.5
actcho,4.9
inactret,30.1
inactetu,5.9
inactm14,14.2
inactaut,5.4
actemp_hom,42.6
actcho_hom,4.9
inactret_hom,28.1
inactetu_hom,6.0
inactm14_hom,14.6
inactaut_hom,3.9
actemp_fem,36.5
actcho_fem,5.0
inactret_fem,32.1
inactetu_fem,5.8
inactm14_fem,13.8
inactaut_fem,6.8
actdip_PEU,14.1
actdip_CAP,30.6
actdip_BAC,23.9
actdip_BAC2,14.7
actdip_BAC3,9.7
actdip_BAC5,7
actdip_BAC3P,16.7
act_agr,6.2
act_art,8.1
act_cad,8.5
act_int,22.1
act_emp,28.5
act_ouv,25.8
act_cho,0.9
log_res,69.0
log_sec,17.2
log_vac,13.8
proprio,69.3
locatai,28.3
gratuit,2.4
maison,76.2
ach90,72.6
mfuel,21.6
men_seul,39.1
men_coupae,22.3
men_coupse,29.6
men_monop,7.5
men_sfam,1.5
men_seul_com,39.1
men_coupse_com,29.4
men_coupae_com,22.3
men_monop_com,7.5
men_complexe_com,1.7
seul_hom1829,20.4
seul_hom3059,20.5
seul_hom6074,23.2
seul_hom7584,20.2
seul_hom85,28.3
seul_fem1829,18.0
seul_fem3059,12.8
seul_fem6074,29.8
seul_fem7584,46.7
seul_fem85,48.9
iranr_log,89.7
iranr_com,2.8
iranr_dep,4.3
iranr_fra,2.9
iranr_etr,0.2
mobresid,3.9
ilt_com,33.8
ilt_dep,55
ilt_fra,11.1
ilt_etr,0.1
mobtrav,19.5
modtrans_aucun,6.7
modtrans_pied,9.9
modtrans_velo,1
modtrans_moto,0.8
modtrans_voit,79.9
modtrans_commun,1.6
tx_pauvrete60_diff,14
nivvie_median_diff,20460
part_pauvres_diff,14
part_modestes_diff,32.1
part_medians_diff,30.3
part_plutot_aises_diff,18.7
part_aises_diff,5
D1_diff,11950
D9_diff,32770
rpt_D9_D1_diff,2.7
tx_pauvrete60_diff_trageRF1,19.7
tx_pauvrete60_diff_trageRF2,16.2
tx_pauvrete60_diff_trageRF3,15.9
tx_pauvrete60_diff_trageRF4,13.9
tx_pauvrete60_diff_trageRF5,10.1
tx_pauvrete60_diff_trageRF6,13.2
PACT,61.6
PPEN,35.6
PPAT,10.2
PPSOC,6.6
PIMPOT,-14
acc_ecole,87.6
acc_college,30.8
acc_lycee,31.7
acc_medecin,53.9
acc_dentiste,50.8
acc_pharmacie,57.7
part_eloig,31.8
