id_dep,libDep,id_circo,libCirco,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
71,Saône-et-Loire,71001,1ère circonscription,75260,52176,"69,33%",23084,"30,67%",50798,"67,50%","97,36%",934,"1,24%","1,79%",444,"0,59%","0,85%",Numéro de panneau 1,1
71,Saône-et-Loire,71002,2ème circonscription,76621,53570,"69,92%",23051,"30,08%",52144,"68,05%","97,34%",894,"1,17%","1,67%",532,"0,69%","0,99%",Numéro de panneau 1,1
71,Saône-et-Loire,71003,3ème circonscription,80901,56166,"69,43%",24735,"30,57%",54201,"67,00%","96,50%",1232,"1,52%","2,19%",733,"0,91%","1,31%",Numéro de panneau 1,1
71,Saône-et-Loire,71004,4ème circonscription,82625,56630,"68,54%",25995,"31,46%",54743,"66,25%","96,67%",1295,"1,57%","2,29%",592,"0,72%","1,05%",Numéro de panneau 1,1
71,Saône-et-Loire,71005,5ème circonscription,85943,57910,"67,38%",28033,"32,62%",56395,"65,62%","97,38%",950,"1,11%","1,64%",565,"0,66%","0,98%",Numéro de panneau 1,1
71,Saône-et-Loire,71001,1ère circonscription,75260,52176,"69,33%",23084,"30,67%",50798,"67,50%","97,36%",934,"1,24%","1,79%",444,"0,59%","0,85%",Nuance candidat 1,LR
71,Saône-et-Loire,71002,2ème circonscription,76621,53570,"69,92%",23051,"30,08%",52144,"68,05%","97,34%",894,"1,17%","1,67%",532,"0,69%","0,99%",Nuance candidat 1,ENS
71,Saône-et-Loire,71003,3ème circonscription,80901,56166,"69,43%",24735,"30,57%",54201,"67,00%","96,50%",1232,"1,52%","2,19%",733,"0,91%","1,31%",Nuance candidat 1,ENS
71,Saône-et-Loire,71004,4ème circonscription,82625,56630,"68,54%",25995,"31,46%",54743,"66,25%","96,67%",1295,"1,57%","2,29%",592,"0,72%","1,05%",Nuance candidat 1,DSV
71,Saône-et-Loire,71005,5ème circonscription,85943,57910,"67,38%",28033,"32,62%",56395,"65,62%","97,38%",950,"1,11%","1,64%",565,"0,66%","0,98%",Nuance candidat 1,EXG
71,Saône-et-Loire,71001,1ère circonscription,75260,52176,"69,33%",23084,"30,67%",50798,"67,50%","97,36%",934,"1,24%","1,79%",444,"0,59%","0,85%",Nom candidat 1,BELVILLE
71,Saône-et-Loire,71002,2ème circonscription,76621,53570,"69,92%",23051,"30,08%",52144,"68,05%","97,34%",894,"1,17%","1,67%",532,"0,69%","0,99%",Nom candidat 1,ZEKPA
71,Saône-et-Loire,71003,3ème circonscription,80901,56166,"69,43%",24735,"30,57%",54201,"67,00%","96,50%",1232,"1,52%","2,19%",733,"0,91%","1,31%",Nom candidat 1,REBEYROTTE
71,Saône-et-Loire,71004,4ème circonscription,82625,56630,"68,54%",25995,"31,46%",54743,"66,25%","96,67%",1295,"1,57%","2,29%",592,"0,72%","1,05%",Nom candidat 1,BELLEST
71,Saône-et-Loire,71005,5ème circonscription,85943,57910,"67,38%",28033,"32,62%",56395,"65,62%","97,38%",950,"1,11%","1,64%",565,"0,66%","0,98%",Nom candidat 1,DUFRAIGNE
71,Saône-et-Loire,71001,1ère circonscription,75260,52176,"69,33%",23084,"30,67%",50798,"67,50%","97,36%",934,"1,24%","1,79%",444,"0,59%","0,85%",Prénom candidat 1,Jean-Philippe
71,Saône-et-Loire,71002,2ème circonscription,76621,53570,"69,92%",23051,"30,08%",52144,"68,05%","97,34%",894,"1,17%","1,67%",532,"0,69%","0,99%",Prénom candidat 1,Raymond
71,Saône-et-Loire,71003,3ème circonscription,80901,56166,"69,43%",24735,"30,57%",54201,"67,00%","96,50%",1232,"1,52%","2,19%",733,"0,91%","1,31%",Prénom candidat 1,Rémy
71,Saône-et-Loire,71004,4ème circonscription,82625,56630,"68,54%",25995,"31,46%",54743,"66,25%","96,67%",1295,"1,57%","2,29%",592,"0,72%","1,05%",Prénom candidat 1,Véronique
71,Saône-et-Loire,71005,5ème circonscription,85943,57910,"67,38%",28033,"32,62%",56395,"65,62%","97,38%",950,"1,11%","1,64%",565,"0,66%","0,98%",Prénom candidat 1,Pascal
71,Saône-et-Loire,71001,1ère circonscription,75260,52176,"69,33%",23084,"30,67%",50798,"67,50%","97,36%",934,"1,24%","1,79%",444,"0,59%","0,85%",Sexe candidat 1,MASCULIN
71,Saône-et-Loire,71002,2ème circonscription,76621,53570,"69,92%",23051,"30,08%",52144,"68,05%","97,34%",894,"1,17%","1,67%",532,"0,69%","0,99%",Sexe candidat 1,MASCULIN
71,Saône-et-Loire,71003,3ème circonscription,80901,56166,"69,43%",24735,"30,57%",54201,"67,00%","96,50%",1232,"1,52%","2,19%",733,"0,91%","1,31%",Sexe candidat 1,MASCULIN
71,Saône-et-Loire,71004,4ème circonscription,82625,56630,"68,54%",25995,"31,46%",54743,"66,25%","96,67%",1295,"1,57%","2,29%",592,"0,72%","1,05%",Sexe candidat 1,FEMININ
71,Saône-et-Loire,71005,5ème circonscription,85943,57910,"67,38%",28033,"32,62%",56395,"65,62%","97,38%",950,"1,11%","1,64%",565,"0,66%","0,98%",Sexe candidat 1,MASCULIN
71,Saône-et-Loire,71001,1ère circonscription,75260,52176,"69,33%",23084,"30,67%",50798,"67,50%","97,36%",934,"1,24%","1,79%",444,"0,59%","0,85%",Voix 1,2368
71,Saône-et-Loire,71002,2ème circonscription,76621,53570,"69,92%",23051,"30,08%",52144,"68,05%","97,34%",894,"1,17%","1,67%",532,"0,69%","0,99%",Voix 1,5094
71,Saône-et-Loire,71003,3ème circonscription,80901,56166,"69,43%",24735,"30,57%",54201,"67,00%","96,50%",1232,"1,52%","2,19%",733,"0,91%","1,31%",Voix 1,13606
71,Saône-et-Loire,71004,4ème circonscription,82625,56630,"68,54%",25995,"31,46%",54743,"66,25%","96,67%",1295,"1,57%","2,29%",592,"0,72%","1,05%",Voix 1,728
71,Saône-et-Loire,71005,5ème circonscription,85943,57910,"67,38%",28033,"32,62%",56395,"65,62%","97,38%",950,"1,11%","1,64%",565,"0,66%","0,98%",Voix 1,888
71,Saône-et-Loire,71001,1ère circonscription,75260,52176,"69,33%",23084,"30,67%",50798,"67,50%","97,36%",934,"1,24%","1,79%",444,"0,59%","0,85%",% Voix/inscrits 1,"3,15%"
71,Saône-et-Loire,71002,2ème circonscription,76621,53570,"69,92%",23051,"30,08%",52144,"68,05%","97,34%",894,"1,17%","1,67%",532,"0,69%","0,99%",% Voix/inscrits 1,"6,65%"
71,Saône-et-Loire,71003,3ème circonscription,80901,56166,"69,43%",24735,"30,57%",54201,"67,00%","96,50%",1232,"1,52%","2,19%",733,"0,91%","1,31%",% Voix/inscrits 1,"16,82%"
71,Saône-et-Loire,71004,4ème circonscription,82625,56630,"68,54%",25995,"31,46%",54743,"66,25%","96,67%",1295,"1,57%","2,29%",592,"0,72%","1,05%",% Voix/inscrits 1,"0,88%"
71,Saône-et-Loire,71005,5ème circonscription,85943,57910,"67,38%",28033,"32,62%",56395,"65,62%","97,38%",950,"1,11%","1,64%",565,"0,66%","0,98%",% Voix/inscrits 1,"1,03%"
71,Saône-et-Loire,71001,1ère circonscription,75260,52176,"69,33%",23084,"30,67%",50798,"67,50%","97,36%",934,"1,24%","1,79%",444,"0,59%","0,85%",% Voix/exprimés 1,"4,66%"
71,Saône-et-Loire,71002,2ème circonscription,76621,53570,"69,92%",23051,"30,08%",52144,"68,05%","97,34%",894,"1,17%","1,67%",532,"0,69%","0,99%",% Voix/exprimés 1,"9,77%"
71,Saône-et-Loire,71003,3ème circonscription,80901,56166,"69,43%",24735,"30,57%",54201,"67,00%","96,50%",1232,"1,52%","2,19%",733,"0,91%","1,31%",% Voix/exprimés 1,"25,10%"
71,Saône-et-Loire,71004,4ème circonscription,82625,56630,"68,54%",25995,"31,46%",54743,"66,25%","96,67%",1295,"1,57%","2,29%",592,"0,72%","1,05%",% Voix/exprimés 1,"1,33%"
71,Saône-et-Loire,71005,5ème circonscription,85943,57910,"67,38%",28033,"32,62%",56395,"65,62%","97,38%",950,"1,11%","1,64%",565,"0,66%","0,98%",% Voix/exprimés 1,"1,57%"
71,Saône-et-Loire,71001,1ère circonscription,75260,52176,"69,33%",23084,"30,67%",50798,"67,50%","97,36%",934,"1,24%","1,79%",444,"0,59%","0,85%",Elu 1,
71,Saône-et-Loire,71002,2ème circonscription,76621,53570,"69,92%",23051,"30,08%",52144,"68,05%","97,34%",894,"1,17%","1,67%",532,"0,69%","0,99%",Elu 1,
71,Saône-et-Loire,71003,3ème circonscription,80901,56166,"69,43%",24735,"30,57%",54201,"67,00%","96,50%",1232,"1,52%","2,19%",733,"0,91%","1,31%",Elu 1,
71,Saône-et-Loire,71004,4ème circonscription,82625,56630,"68,54%",25995,"31,46%",54743,"66,25%","96,67%",1295,"1,57%","2,29%",592,"0,72%","1,05%",Elu 1,
71,Saône-et-Loire,71005,5ème circonscription,85943,57910,"67,38%",28033,"32,62%",56395,"65,62%","97,38%",950,"1,11%","1,64%",565,"0,66%","0,98%",Elu 1,
71,Saône-et-Loire,71001,1ère circonscription,75260,52176,"69,33%",23084,"30,67%",50798,"67,50%","97,36%",934,"1,24%","1,79%",444,"0,59%","0,85%",Numéro de panneau 2,2
71,Saône-et-Loire,71002,2ème circonscription,76621,53570,"69,92%",23051,"30,08%",52144,"68,05%","97,34%",894,"1,17%","1,67%",532,"0,69%","0,99%",Numéro de panneau 2,2
71,Saône-et-Loire,71003,3ème circonscription,80901,56166,"69,43%",24735,"30,57%",54201,"67,00%","96,50%",1232,"1,52%","2,19%",733,"0,91%","1,31%",Numéro de panneau 2,2
71,Saône-et-Loire,71004,4ème circonscription,82625,56630,"68,54%",25995,"31,46%",54743,"66,25%","96,67%",1295,"1,57%","2,29%",592,"0,72%","1,05%",Numéro de panneau 2,2
71,Saône-et-Loire,71005,5ème circonscription,85943,57910,"67,38%",28033,"32,62%",56395,"65,62%","97,38%",950,"1,11%","1,64%",565,"0,66%","0,98%",Numéro de panneau 2,2
71,Saône-et-Loire,71001,1ère circonscription,75260,52176,"69,33%",23084,"30,67%",50798,"67,50%","97,36%",934,"1,24%","1,79%",444,"0,59%","0,85%",Nuance candidat 2,ENS
71,Saône-et-Loire,71002,2ème circonscription,76621,53570,"69,92%",23051,"30,08%",52144,"68,05%","97,34%",894,"1,17%","1,67%",532,"0,69%","0,99%",Nuance candidat 2,RN
71,Saône-et-Loire,71003,3ème circonscription,80901,56166,"69,43%",24735,"30,57%",54201,"67,00%","96,50%",1232,"1,52%","2,19%",733,"0,91%","1,31%",Nuance candidat 2,DSV
